GO Annotation,Taxon,Count of Proteins with Annotation,Proportion of Proteins with Annotation
"proton-transporting V-type ATPase, V0 domain",wolfii-OEWO,7,0.0002366143861546782
replication fork protection complex,wolfii-OEWO,7,0.0002366143861546782
signal peptidase complex,wolfii-OEWO,7,0.0002366143861546782
spindle midzone,wolfii-OEWO,7,0.0002366143861546782
synaptic vesicle,wolfii-OEWO,7,0.0002366143861546782
tRNA-specific adenosine-34 deaminase complex,wolfii-OEWO,7,0.0002366143861546782
trans-Golgi network membrane,wolfii-OEWO,7,0.0002366143861546782
trans-Golgi network transport vesicle membrane,wolfii-OEWO,7,0.0002366143861546782
zeta DNA polymerase complex,wolfii-OEWO,7,0.0002366143861546782
AP-1 adaptor complex,wolfii-OEWO,6,0.00020281233098972418
Casparian strip,wolfii-OEWO,6,0.00020281233098972418
ER body,wolfii-OEWO,6,0.00020281233098972418
ESCRT I complex,wolfii-OEWO,6,0.00020281233098972418
GARP complex,wolfii-OEWO,6,0.00020281233098972418
GPI-anchor transamidase complex,wolfii-OEWO,6,0.00020281233098972418
Lsm1-7-Pat1 complex,wolfii-OEWO,6,0.00020281233098972418
"PAM complex, Tim23 associated import motor",wolfii-OEWO,6,0.00020281233098972418
PAS complex,wolfii-OEWO,6,0.00020281233098972418
RNA polymerase I upstream activating factor complex,wolfii-OEWO,6,0.00020281233098972418
"RNA polymerase II, holoenzyme",wolfii-OEWO,6,0.00020281233098972418
SAM complex,wolfii-OEWO,6,0.00020281233098972418
Set1C/COMPASS complex,wolfii-OEWO,6,0.00020281233098972418
U6 snRNP,wolfii-OEWO,6,0.00020281233098972418
UBC13-MMS2 complex,wolfii-OEWO,6,0.00020281233098972418
actin cortical patch,wolfii-OEWO,6,0.00020281233098972418
alpha DNA polymerase:primase complex,wolfii-OEWO,6,0.00020281233098972418
chaperone complex,wolfii-OEWO,6,0.00020281233098972418
chloroplast photosystem I,wolfii-OEWO,6,0.00020281233098972418
chloroplast ribosome,wolfii-OEWO,6,0.00020281233098972418
clathrin coat of trans-Golgi network vesicle,wolfii-OEWO,6,0.00020281233098972418
cohesin complex,wolfii-OEWO,6,0.00020281233098972418
dynein complex,wolfii-OEWO,6,0.00020281233098972418
eukaryotic translation initiation factor 2 complex,wolfii-OEWO,6,0.00020281233098972418
"eukaryotic translation initiation factor 3 complex, eIF3m",wolfii-OEWO,6,0.00020281233098972418
extrinsic component of vacuolar membrane,wolfii-OEWO,6,0.00020281233098972418
granal stacked thylakoid,wolfii-OEWO,6,0.00020281233098972418
lytic vacuole,wolfii-OEWO,6,0.00020281233098972418
membrane coat,wolfii-OEWO,6,0.00020281233098972418
methylosome,wolfii-OEWO,6,0.00020281233098972418
molybdopterin synthase complex,wolfii-OEWO,6,0.00020281233098972418
multi-eIF complex,wolfii-OEWO,6,0.00020281233098972418
nucleolar chromatin,wolfii-OEWO,6,0.00020281233098972418
peribacteroid membrane,wolfii-OEWO,6,0.00020281233098972418
peroxisomal importomer complex,wolfii-OEWO,6,0.00020281233098972418
plastid inner membrane,wolfii-OEWO,6,0.00020281233098972418
secondary cell wall,wolfii-OEWO,6,0.00020281233098972418
site of polarized growth,wolfii-OEWO,6,0.00020281233098972418
transcription export complex,wolfii-OEWO,6,0.00020281233098972418
transcription repressor complex,wolfii-OEWO,6,0.00020281233098972418
vacuolar lumen,wolfii-OEWO,6,0.00020281233098972418
"vacuolar proton-transporting V-type ATPase, V0 domain",wolfii-OEWO,6,0.00020281233098972418
BRCA1-A complex,wolfii-OEWO,5,0.00016901027582477015
DNA ligase IV complex,wolfii-OEWO,5,0.00016901027582477015
EKC/KEOPS complex,wolfii-OEWO,5,0.00016901027582477015
ESC/E(Z) complex,wolfii-OEWO,5,0.00016901027582477015
MOZ/MORF histone acetyltransferase complex,wolfii-OEWO,5,0.00016901027582477015
PRC1 complex,wolfii-OEWO,5,0.00016901027582477015
RISC complex,wolfii-OEWO,5,0.00016901027582477015
SCAR complex,wolfii-OEWO,5,0.00016901027582477015
SLIK (SAGA-like) complex,wolfii-OEWO,5,0.00016901027582477015
Ski complex,wolfii-OEWO,5,0.00016901027582477015
TORC1 complex,wolfii-OEWO,5,0.00016901027582477015
TRAMP complex,wolfii-OEWO,5,0.00016901027582477015
basolateral plasma membrane,wolfii-OEWO,5,0.00016901027582477015
box H/ACA snoRNP complex,wolfii-OEWO,5,0.00016901027582477015
chiasma,wolfii-OEWO,5,0.00016901027582477015
chloroplast stromal thylakoid,wolfii-OEWO,5,0.00016901027582477015
condensed nuclear chromosome kinetochore,wolfii-OEWO,5,0.00016901027582477015
condensin complex,wolfii-OEWO,5,0.00016901027582477015
cytoplasmic chromatin,wolfii-OEWO,5,0.00016901027582477015
etioplast membrane,wolfii-OEWO,5,0.00016901027582477015
euchromatin,wolfii-OEWO,5,0.00016901027582477015
fungal-type vacuole membrane,wolfii-OEWO,5,0.00016901027582477015
guanyl-nucleotide exchange factor complex,wolfii-OEWO,5,0.00016901027582477015
integral component of postsynaptic membrane,wolfii-OEWO,5,0.00016901027582477015
intercellular bridge,wolfii-OEWO,5,0.00016901027582477015
intracellular vesicle,wolfii-OEWO,5,0.00016901027582477015
intrinsic component of endoplasmic reticulum membrane,wolfii-OEWO,5,0.00016901027582477015
kinetochore microtubule,wolfii-OEWO,5,0.00016901027582477015
lateral plasma membrane,wolfii-OEWO,5,0.00016901027582477015
lysosomal lumen,wolfii-OEWO,5,0.00016901027582477015
male germ cell nucleus,wolfii-OEWO,5,0.00016901027582477015
membrane raft,wolfii-OEWO,5,0.00016901027582477015
methylcrotonoyl-CoA carboxylase complex,wolfii-OEWO,5,0.00016901027582477015
neuronal cell body,wolfii-OEWO,5,0.00016901027582477015
nuclear inner membrane,wolfii-OEWO,5,0.00016901027582477015
nuclear pore inner ring,wolfii-OEWO,5,0.00016901027582477015
nucleoid,wolfii-OEWO,5,0.00016901027582477015
"phosphatidylinositol 3-kinase complex, class III, type I",wolfii-OEWO,5,0.00016901027582477015
"phosphatidylinositol 3-kinase complex, class III, type II",wolfii-OEWO,5,0.00016901027582477015
phosphopyruvate hydratase complex,wolfii-OEWO,5,0.00016901027582477015
polar nucleus,wolfii-OEWO,5,0.00016901027582477015
postsynapse,wolfii-OEWO,5,0.00016901027582477015
presynapse,wolfii-OEWO,5,0.00016901027582477015
ribonuclease H2 complex,wolfii-OEWO,5,0.00016901027582477015
ribonucleoside-diphosphate reductase complex,wolfii-OEWO,5,0.00016901027582477015
secretory granule membrane,wolfii-OEWO,5,0.00016901027582477015
telomerase holoenzyme complex,wolfii-OEWO,5,0.00016901027582477015
transcription factor TFIIA complex,wolfii-OEWO,5,0.00016901027582477015
transcription factor TFIIH core complex,wolfii-OEWO,5,0.00016901027582477015
transcription factor TFIIIB complex,wolfii-OEWO,5,0.00016901027582477015
varicosity,wolfii-OEWO,5,0.00016901027582477015
AP-4 adaptor complex,wolfii-OEWO,4,0.00013520822065981613
Ada2/Gcn5/Ada3 transcription activator complex,wolfii-OEWO,4,0.00013520822065981613
CIA complex,wolfii-OEWO,4,0.00013520822065981613
Cul4B-RING E3 ubiquitin ligase complex,wolfii-OEWO,4,0.00013520822065981613
"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex",wolfii-OEWO,4,0.00013520822065981613
Dsl1/NZR complex,wolfii-OEWO,4,0.00013520822065981613
ESCRT II complex,wolfii-OEWO,4,0.00013520822065981613
Flemming body,wolfii-OEWO,4,0.00013520822065981613
GINS complex,wolfii-OEWO,4,0.00013520822065981613
Golgi cisterna,wolfii-OEWO,4,0.00013520822065981613
Hrd1p ubiquitin ligase ERAD-L complex,wolfii-OEWO,4,0.00013520822065981613
Ndc80 complex,wolfii-OEWO,4,0.00013520822065981613
RQC complex,wolfii-OEWO,4,0.00013520822065981613
RZZ complex,wolfii-OEWO,4,0.00013520822065981613
TORC2 complex,wolfii-OEWO,4,0.00013520822065981613
U7 snRNP,wolfii-OEWO,4,0.00013520822065981613
activating signal cointegrator 1 complex,wolfii-OEWO,4,0.00013520822065981613
aggresome,wolfii-OEWO,4,0.00013520822065981613
aminoacyl-tRNA synthetase multienzyme complex,wolfii-OEWO,4,0.00013520822065981613
apical part of cell,wolfii-OEWO,4,0.00013520822065981613
axon initial segment,wolfii-OEWO,4,0.00013520822065981613
azurophil granule lumen,wolfii-OEWO,4,0.00013520822065981613
cAMP-dependent protein kinase complex,wolfii-OEWO,4,0.00013520822065981613
cell body,wolfii-OEWO,4,0.00013520822065981613
cell leading edge,wolfii-OEWO,4,0.00013520822065981613
cilium,wolfii-OEWO,4,0.00013520822065981613
cortical endoplasmic reticulum,wolfii-OEWO,4,0.00013520822065981613
"cortical microtubule, transverse to long axis",wolfii-OEWO,4,0.00013520822065981613
cytoplasmic dynein complex,wolfii-OEWO,4,0.00013520822065981613
endolysosome membrane,wolfii-OEWO,4,0.00013520822065981613
endoplasmic reticulum tubular network,wolfii-OEWO,4,0.00013520822065981613
fatty acid synthase complex,wolfii-OEWO,4,0.00013520822065981613
ficolin-1-rich granule lumen,wolfii-OEWO,4,0.00013520822065981613
focal adhesion,wolfii-OEWO,4,0.00013520822065981613
gamma-tubulin small complex,wolfii-OEWO,4,0.00013520822065981613
growth cone,wolfii-OEWO,4,0.00013520822065981613
host cell cytoplasm,wolfii-OEWO,4,0.00013520822065981613
integral component of chloroplast inner membrane,wolfii-OEWO,4,0.00013520822065981613
integrator complex,wolfii-OEWO,4,0.00013520822065981613
katanin complex,wolfii-OEWO,4,0.00013520822065981613
leucoplast,wolfii-OEWO,4,0.00013520822065981613
mRNA cap binding complex,wolfii-OEWO,4,0.00013520822065981613
mitochondrial DNA-directed RNA polymerase complex,wolfii-OEWO,4,0.00013520822065981613
mitochondrial outer membrane translocase complex,wolfii-OEWO,4,0.00013520822065981613
mitochondrial proton-transporting ATP synthase complex,wolfii-OEWO,4,0.00013520822065981613
mitotic checkpoint complex,wolfii-OEWO,4,0.00013520822065981613
mitotic spindle midzone,wolfii-OEWO,4,0.00013520822065981613
nuclear cap binding complex,wolfii-OEWO,4,0.00013520822065981613
nuclear cohesin complex,wolfii-OEWO,4,0.00013520822065981613
nuclear condensin complex,wolfii-OEWO,4,0.00013520822065981613
nuclear pore nuclear basket,wolfii-OEWO,4,0.00013520822065981613
nuclear replication fork,wolfii-OEWO,4,0.00013520822065981613
nuclear telomere cap complex,wolfii-OEWO,4,0.00013520822065981613
nucleotide-excision repair complex,wolfii-OEWO,4,0.00013520822065981613
nucleotide-excision repair factor 1 complex,wolfii-OEWO,4,0.00013520822065981613
perikaryon,wolfii-OEWO,4,0.00013520822065981613
plastid large ribosomal subunit,wolfii-OEWO,4,0.00013520822065981613
plastid membrane,wolfii-OEWO,4,0.00013520822065981613
plastid outer membrane,wolfii-OEWO,4,0.00013520822065981613
primary cell wall,wolfii-OEWO,4,0.00013520822065981613
prospore membrane,wolfii-OEWO,4,0.00013520822065981613
protein phosphatase type 1 complex,wolfii-OEWO,4,0.00013520822065981613
protein serine/threonine phosphatase complex,wolfii-OEWO,4,0.00013520822065981613
"proton-transporting V-type ATPase, V1 domain",wolfii-OEWO,4,0.00013520822065981613
"proton-transporting two-sector ATPase complex, catalytic domain",wolfii-OEWO,4,0.00013520822065981613
rDNA protrusion,wolfii-OEWO,4,0.00013520822065981613
ruffle membrane,wolfii-OEWO,4,0.00013520822065981613
sarcolemma,wolfii-OEWO,4,0.00013520822065981613
sarcoplasmic reticulum,wolfii-OEWO,4,0.00013520822065981613
small nuclear ribonucleoprotein complex,wolfii-OEWO,4,0.00013520822065981613
spectrin-associated cytoskeleton,wolfii-OEWO,4,0.00013520822065981613
spindle pole centrosome,wolfii-OEWO,4,0.00013520822065981613
synapse,wolfii-OEWO,4,0.00013520822065981613
transcription elongation factor complex,wolfii-OEWO,4,0.00013520822065981613
transcription export complex 2,wolfii-OEWO,4,0.00013520822065981613
transcription factor TFIIE complex,wolfii-OEWO,4,0.00013520822065981613
transcription preinitiation complex,wolfii-OEWO,4,0.00013520822065981613
transcriptionally active chromatin,wolfii-OEWO,4,0.00013520822065981613
unconventional myosin complex,wolfii-OEWO,4,0.00013520822065981613
"vacuolar proton-transporting V-type ATPase, V1 domain",wolfii-OEWO,4,0.00013520822065981613
AP-type membrane coat adaptor complex,wolfii-OEWO,3,0.00010140616549486209
Atg12-Atg5-Atg16 complex,wolfii-OEWO,3,0.00010140616549486209
BRISC complex,wolfii-OEWO,3,0.00010140616549486209
CAF-1 complex,wolfii-OEWO,3,0.00010140616549486209
COPI-coated Golgi to ER transport vesicle,wolfii-OEWO,3,0.00010140616549486209
CST complex,wolfii-OEWO,3,0.00010140616549486209
Cul3-RING ubiquitin ligase complex,wolfii-OEWO,3,0.00010140616549486209
DSIF complex,wolfii-OEWO,3,0.00010140616549486209
GET complex,wolfii-OEWO,3,0.00010140616549486209
M band,wolfii-OEWO,3,0.00010140616549486209
Mpp10 complex,wolfii-OEWO,3,0.00010140616549486209
NLS-dependent protein nuclear import complex,wolfii-OEWO,3,0.00010140616549486209
NSL complex,wolfii-OEWO,3,0.00010140616549486209
Nrd1 complex,wolfii-OEWO,3,0.00010140616549486209
PeBoW complex,wolfii-OEWO,3,0.00010140616549486209
Rad51B-Rad51C-Rad51D-XRCC2 complex,wolfii-OEWO,3,0.00010140616549486209
Rix1 complex,wolfii-OEWO,3,0.00010140616549486209
SMN complex,wolfii-OEWO,3,0.00010140616549486209
Schaffer collateral - CA1 synapse,wolfii-OEWO,3,0.00010140616549486209
Sin3-type complex,wolfii-OEWO,3,0.00010140616549486209
TAT protein transport complex,wolfii-OEWO,3,0.00010140616549486209
TOC-TIC supercomplex I,wolfii-OEWO,3,0.00010140616549486209
UFD1-NPL4 complex,wolfii-OEWO,3,0.00010140616549486209
axolemma,wolfii-OEWO,3,0.00010140616549486209
axon cytoplasm,wolfii-OEWO,3,0.00010140616549486209
azurophil granule membrane,wolfii-OEWO,3,0.00010140616549486209
caveola,wolfii-OEWO,3,0.00010140616549486209
cell cortex of cell tip,wolfii-OEWO,3,0.00010140616549486209
cell septum,wolfii-OEWO,3,0.00010140616549486209
centriolar satellite,wolfii-OEWO,3,0.00010140616549486209
"chromosome, centromeric core domain",wolfii-OEWO,3,0.00010140616549486209
clathrin-coated endocytic vesicle,wolfii-OEWO,3,0.00010140616549486209
cleavage furrow,wolfii-OEWO,3,0.00010140616549486209
collagen-containing extracellular matrix,wolfii-OEWO,3,0.00010140616549486209
contractile fiber,wolfii-OEWO,3,0.00010140616549486209
etioplast stroma,wolfii-OEWO,3,0.00010140616549486209
eukaryotic translation elongation factor 1 complex,wolfii-OEWO,3,0.00010140616549486209
extrinsic component of Golgi membrane,wolfii-OEWO,3,0.00010140616549486209
extrinsic component of cytoplasmic side of plasma membrane,wolfii-OEWO,3,0.00010140616549486209
extrinsic component of endosome membrane,wolfii-OEWO,3,0.00010140616549486209
germ cell nucleus,wolfii-OEWO,3,0.00010140616549486209
growing cell tip,wolfii-OEWO,3,0.00010140616549486209
inclusion body,wolfii-OEWO,3,0.00010140616549486209
integral component of endosome membrane,wolfii-OEWO,3,0.00010140616549486209
integral component of fungal-type vacuolar membrane,wolfii-OEWO,3,0.00010140616549486209
integral component of lysosomal membrane,wolfii-OEWO,3,0.00010140616549486209
interchromatin granule,wolfii-OEWO,3,0.00010140616549486209
membrane-bounded organelle,wolfii-OEWO,3,0.00010140616549486209
microtubule end,wolfii-OEWO,3,0.00010140616549486209
microtubule plus-end,wolfii-OEWO,3,0.00010140616549486209
mitochondrial inner membrane peptidase complex,wolfii-OEWO,3,0.00010140616549486209
neuron projection,wolfii-OEWO,3,0.00010140616549486209
nuclear SCF ubiquitin ligase complex,wolfii-OEWO,3,0.00010140616549486209
nuclear pericentric heterochromatin,wolfii-OEWO,3,0.00010140616549486209
nuclear proteasome complex,wolfii-OEWO,3,0.00010140616549486209
oligosaccharyltransferase I complex,wolfii-OEWO,3,0.00010140616549486209
plasmodesmatal endoplasmic reticulum,wolfii-OEWO,3,0.00010140616549486209
polytene chromosome,wolfii-OEWO,3,0.00010140616549486209
riboflavin synthase complex,wolfii-OEWO,3,0.00010140616549486209
ribonuclease MRP complex,wolfii-OEWO,3,0.00010140616549486209
sperm connecting piece,wolfii-OEWO,3,0.00010140616549486209
sperm flagellum,wolfii-OEWO,3,0.00010140616549486209
symbiont-containing vacuole membrane,wolfii-OEWO,3,0.00010140616549486209
synaptonemal complex,wolfii-OEWO,3,0.00010140616549486209
tricarboxylic acid cycle enzyme complex,wolfii-OEWO,3,0.00010140616549486209
virion,wolfii-OEWO,3,0.00010140616549486209
AP-3 adaptor complex,wolfii-OEWO,2,6.760411032990806e-05
ASTRA complex,wolfii-OEWO,2,6.760411032990806e-05
BLOC-1 complex,wolfii-OEWO,2,6.760411032990806e-05
BRCA1-BARD1 complex,wolfii-OEWO,2,6.760411032990806e-05
CAAX-protein geranylgeranyltransferase complex,wolfii-OEWO,2,6.760411032990806e-05
Ctf18 RFC-like complex,wolfii-OEWO,2,6.760411032990806e-05
Cul2-RING ubiquitin ligase complex,wolfii-OEWO,2,6.760411032990806e-05
Cul7-RING ubiquitin ligase complex,wolfii-OEWO,2,6.760411032990806e-05
DNA polymerase complex,wolfii-OEWO,2,6.760411032990806e-05
DUBm complex,wolfii-OEWO,2,6.760411032990806e-05
EARP complex,wolfii-OEWO,2,6.760411032990806e-05
ERCC4-ERCC1 complex,wolfii-OEWO,2,6.760411032990806e-05
ESCRT-0 complex,wolfii-OEWO,2,6.760411032990806e-05
F-actin capping protein complex,wolfii-OEWO,2,6.760411032990806e-05
FACT complex,wolfii-OEWO,2,6.760411032990806e-05
Fanconi anaemia nuclear complex,wolfii-OEWO,2,6.760411032990806e-05
Ku70:Ku80 complex,wolfii-OEWO,2,6.760411032990806e-05
Mon1-Ccz1 complex,wolfii-OEWO,2,6.760411032990806e-05
NatB complex,wolfii-OEWO,2,6.760411032990806e-05
NatC complex,wolfii-OEWO,2,6.760411032990806e-05
Noc1p-Noc2p complex,wolfii-OEWO,2,6.760411032990806e-05
Noc2p-Noc3p complex,wolfii-OEWO,2,6.760411032990806e-05
Noc4p-Nop14p complex,wolfii-OEWO,2,6.760411032990806e-05
PCNA complex,wolfii-OEWO,2,6.760411032990806e-05
RAVE complex,wolfii-OEWO,2,6.760411032990806e-05
RNA N6-methyladenosine methyltransferase complex,wolfii-OEWO,2,6.760411032990806e-05
RNA polymerase IV transcription regulator complex,wolfii-OEWO,2,6.760411032990806e-05
Rad51C-XRCC3 complex,wolfii-OEWO,2,6.760411032990806e-05
SAGA-type complex,wolfii-OEWO,2,6.760411032990806e-05
SPOTS complex,wolfii-OEWO,2,6.760411032990806e-05
SUMO activating enzyme complex,wolfii-OEWO,2,6.760411032990806e-05
Sec61 translocon complex,wolfii-OEWO,2,6.760411032990806e-05
Slx1-Slx4 complex,wolfii-OEWO,2,6.760411032990806e-05
TRAPPII protein complex,wolfii-OEWO,2,6.760411032990806e-05
TRAPPIII protein complex,wolfii-OEWO,2,6.760411032990806e-05
U11/U12 snRNP,wolfii-OEWO,2,6.760411032990806e-05
U4atac snRNP,wolfii-OEWO,2,6.760411032990806e-05
UDP-N-acetylglucosamine transferase complex,wolfii-OEWO,2,6.760411032990806e-05
actin-based cell projection,wolfii-OEWO,2,6.760411032990806e-05
"actomyosin contractile ring, intermediate layer",wolfii-OEWO,2,6.760411032990806e-05
beta-catenin destruction complex,wolfii-OEWO,2,6.760411032990806e-05
bicellular tight junction,wolfii-OEWO,2,6.760411032990806e-05
bub1-bub3 complex,wolfii-OEWO,2,6.760411032990806e-05
carbamoyl-phosphate synthase complex,wolfii-OEWO,2,6.760411032990806e-05
cell hair,wolfii-OEWO,2,6.760411032990806e-05
cell-cell contact zone,wolfii-OEWO,2,6.760411032990806e-05
